dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,1,0.1392768919467926,0.26119805742816204,0.0,0.12192116548136944,0.20023747468747732,0.16,1
train,0,0.25654336810112,0.2737078888657499,0.0,0.01716452076462993,0.26512562848343496,0.16,1
train,0,0.14101730287075043,0.04968143597227052,0.0,-0.09133586689847992,0.09534936942151047,0.16,0
train,0,0.25876328349113464,0.3256454605008502,0.0,0.06688217700971555,0.2922043719959924,0.16,1
train,0,0.1392768919467926,0.07304170461093762,0.0,-0.06623518733585498,0.10615929827886511,0.16,0
train,0,0.1392768919467926,0.06576905842679029,0.0,-0.07350783352000231,0.10252297518679145,0.16,0
train,0,0.1392768919467926,0.05354344187164051,0.0,-0.0857334500751521,0.09641016690921655,0.16,0
train,0,0.25271478295326233,0.2458570126084062,0.0,-0.006857770344856129,0.24928589778083426,0.16,1
train,0,0.14347858726978302,0.1292581029992555,0.0,-0.014220484270527523,0.13636834513451926,0.16,0
train,0,0.1392768919467926,0.06532711734379293,0.0,-0.07394977460299967,0.10230200464529277,0.16,0
train,0,0.1392768919467926,0.050125328226739346,0.0,-0.08915156372005326,0.09470111008676597,0.16,0
train,0,0.25032296776771545,0.27369564126064594,0.0,0.023372673492930485,0.2620093045141807,0.16,1
train,0,0.1392768919467926,0.03885777213231969,0.0,-0.1004191198144729,0.08906733203955615,0.16,0
train,0,0.1392768919467926,0.06627606004145453,0.0,-0.07300083190533807,0.10277647599412357,0.16,0
train,0,0.1392768919467926,0.04838302287678682,0.0,-0.09089386907000578,0.0938299574117897,0.16,0
train,1,0.2634499967098236,0.34759928533376266,0.0,0.08414928862393906,0.3055246410217931,0.16,1
train,0,0.1392768919467926,0.06756751929074804,0.0,-0.07170937265604456,0.10342220561877033,0.16,0
train,1,0.25032296776771545,0.3112228108620476,0.0,0.06089984309433216,0.28077288931488154,0.16,1
train,0,0.14347858726978302,0.05863958685873736,0.0,-0.08483900041104567,0.10105908706426019,0.16,0
train,1,0.2634499967098236,0.33532572303193287,0.0,0.07187572632210926,0.29938785987087824,0.16,1
train,0,0.1392768919467926,0.07379370483903964,0.0,-0.06548318710775296,0.10653529839291612,0.16,0
train,1,0.2634499967098236,0.3401860106276895,0.0,0.07673601391786589,0.30181800366875655,0.16,1
train,0,0.14347858726978302,0.07039737715375255,0.0,-0.07308121011603047,0.10693798221176778,0.16,0
train,0,0.14347858726978302,0.06798117412767707,0.0,-0.07549741314210595,0.10572988069873004,0.16,0
train,0,0.25654336810112,0.28249810991334323,0.0,0.025954741812223237,0.2695207390072316,0.16,1
train,0,0.2429811656475067,0.30536056093473135,0.0,0.06237939528722464,0.27417086329111906,0.16,1
train,1,0.1392768919467926,0.12720168554710767,0.0,-0.012075206399684929,0.13323928874695012,0.16,0
train,0,0.1392768919467926,0.07207360481728149,0.0,-0.06720328712951111,0.10567524838203704,0.16,0
train,0,0.14347858726978302,0.0866282569668928,0.0,-0.05685033030289022,0.11505342211833791,0.16,0
train,0,0.25876328349113464,0.3266675153487227,0.0,0.06790423185758804,0.29271539941992863,0.16,1
train,1,0.2634499967098236,0.3033119545337257,0.0,0.03986195782390212,0.28338097562177467,0.16,1
train,1,0.25654336810112,0.3296011672389655,0.0,0.07305779913784549,0.29307226767004274,0.16,1
train,0,0.1392768919467926,0.043829236374122095,0.0,-0.09544765557267051,0.09155306416045735,0.16,0
train,1,0.23698480427265167,0.3001399421847826,0.0,0.06315513791213095,0.2685623732287171,0.16,1
train,0,0.14347858726978302,0.06773621164237818,0.0,-0.07574237562740484,0.10560739945608061,0.16,0
train,0,0.14347858726978302,0.05590141260299028,0.0,-0.08757717466679274,0.09968999993638665,0.16,0
train,1,0.24871884286403656,0.25858549830304317,0.0,0.00986665543900661,0.25365217058353984,0.16,1
train,0,0.25032296776771545,0.2790368645601573,0.0,0.02871389679244185,0.2646799161639364,0.16,1
train,0,0.25876328349113464,0.316590770662054,0.0,0.057827487170919345,0.2876770270765943,0.16,1
train,0,0.14101730287075043,0.03905253252416176,0.0,-0.10196477034658867,0.09003491769745608,0.16,0
